"","x","y","spatial_cluster"
"cell1723",1032.61179214716,-3161.73344166204,"12"
"cell1725",943.079789824784,-3234.90344356,"12"
"cell1729",1065.01179298759,-3128.52344080061,"12"
"cell1730",931.631789527834,-3082.19683959894,"12"
"cell1732",1023.80979191884,-3084.40543965623,"12"
"cell1733",939.78578973934,-3121.44944061711,"12"
"cell1735",927.743789426982,-3134.24744094908,"12"
"cell1736",911.489789005369,-3122.47544064373,"12"
"cell1739",893.021788526326,-3135.3814409785,"12"
"cell1745",907.331788897514,-3202.12544270977,"12"
"cell1747",974.345790635794,-3114.32144043222,"12"
"cell1749",1054.53579271585,-3105.1954401955,"12"
"cell1751",887.135788373649,-3201.42344269157,"12"
"cell1756",970.889790546149,-3169.72544186935,"12"
"cell1757",1000.96779132634,-3184.41344225034,"12"
"cell1758",903.551788799465,-3249.6994439438,"12"
"cell1759",917.321789156646,-3286.25744489208,"12"
"cell1760",1008.52779152244,-3105.0334401913,"12"
"cell1763",1023.92966535315,-3015.10410520434,"12"
"cell1766",954.809663560242,-2986.59210446477,"12"
"cell1767",992.555664539337,-2964.56010389328,"12"
"cell1769",938.447663135827,-2982.05610434711,"12"
"cell1771",933.37166300416,-2941.93410330638,"12"
"cell1772",913.985662501305,-3002.19810486957,"12"
"cell1775",901.619662180543,-2955.65010366216,"12"
"cell1776",910.475662410259,-3027.2001055181,"12"
"cell1780",1062.05366634205,-2987.56410448998,"12"
"cell1785",941.579663217068,-2913.80010257661,"12"
"cell1788",897.191662065685,-2903.70210231468,"12"
"cell1790",938.825663145632,-3015.80610522255,"12"
"cell1791",999.305664714426,-3072.3981066905,"12"
"cell1794",1018.90766522288,-3038.21610580385,"12"
"cell1795",1051.68566607311,-3008.35410502926,"12"
"cell1796",1044.66566589102,-3054.57810622826,"12"
"cell1797",890.657661896199,-2922.38610279933,"12"
"cell1798",1042.7216658406,-2960.02410377562,"12"
"cell1799",1073.55026664026,-2928.59610296041,"12"
"cell1800",999.845664728433,-3016.50810524076,"12"
"cell1802",953.027663514018,-2942.42010331899,"12"
"cell1805",949.841663431376,-3050.90610613301,"12"
"cell1807",922.193662714213,-3047.28810603917,"12"
"cell1809",936.557663086802,-2954.78610363975,"12"
"cell1811",1020.3656652607,-2987.88810449839,"12"
"cell1812",949.949663434178,-3088.75470711477,"12"
"cell1814",1066.37366645411,-3037.13610577583,"12"
"cell1816",992.609664540738,-3080.0661068894,"12"
"cell1817",900.215662144125,-3089.67270713858,"12"
"cell1818",972.575664021075,-3030.76410561055,"12"
"cell1819",1042.50566583499,-3074.77410675213,"12"
"cell1820",962.423663757742,-3050.58210612461,"12"
"cell1824",980.459664225578,-2993.55810464546,"12"
"cell1828",926.51366282627,-2917.04010266066,"12"
"cell1829",1018.09766520187,-2935.13010312989,"12"
"cell1833",994.607664592564,-2975.68410418183,"12"
"cell1834",1037.15966569632,-2921.41410277411,"12"
"cell1837",1057.86001962796,-2836.4568284601,"12"
"cell1840",910.818015813828,-2696.11082481965,"1"
"cell1846",1007.31601831689,-2732.66882576793,"12"
"cell1849",977.562017545104,-2887.00082977116,"12"
"cell1851",1057.96801963076,-2761.01882650331,"12"
"cell1852",877.392014946789,-2757.56282641366,"1"
"cell1857",963.846017189324,-2797.84682745859,"12"
"cell1861",877.608014952391,-2740.06682595983,"1"
"cell1863",984.960017737001,-2841.26282858476,"12"
"cell1864",1063.80001978204,-2786.83082717285,"12"
"cell1867",970.326017357409,-2878.63082955405,"12"
"cell1869",963.630017183721,-2860.37882908061,"12"
"cell1871",1021.24801867828,-2843.85482865199,"12"
"cell1872",951.102016858756,-2691.7908247076,"1"
"cell1878",1025.40601878613,-2786.02082715183,"12"
"cell1879",962.280017148703,-2838.67082851753,"12"
"cell1881",1003.64401822165,-2869.77482932433,"12"
"cell1888",967.626017287374,-2819.17682801187,"12"
"cell1890",1009.20601836592,-2840.66882856935,"12"
"cell1892",956.070016987622,-2822.63282810152,"12"
"cell1895",968.976017322391,-2717.33282537013,"12"
"cell1896",920.052016053349,-2718.35882539675,"1"
"cell1898",1006.93801830709,-2801.78882756084,"12"
"cell1904",907.254015721381,-2716.46882534772,"1"
"cell1906",923.292016137391,-2798.710827481,"12"
"cell1910",949.229255460203,-2511.23004009202,"1"
"cell1913",922.445254765451,-2543.84604093805,"1"
"cell1915",1019.91525729373,-2560.42404136807,"1"
"cell1918",948.311255436391,-2607.13404257968,"1"
"cell1921",1001.60925681889,-2536.17804073915,"1"
"cell1930",1049.61525806412,-2516.30604022369,"1"
"cell1932",986.165256418288,-2509.8260400556,"1"
"cell1933",998.855256747454,-2524.46004043519,"1"
"cell1940",987.623256456107,-2489.68403953314,"1"
"cell1941",908.891254413873,-2612.15604270995,"1"
"cell1945",954.413255594671,-2502.69803987071,"1"
"cell1946",898.631254147738,-2616.2600428164,"1"
"cell1948",1025.4232574366,-2506.69403997436,"1"
"cell1955",969.047255974263,-2562.8000414297,"1"
"cell1960",1055.393258214,-2549.35404108092,"12"
"cell1965",1012.03125708923,-2583.21204195917,"1"
"cell1971",937.403255153447,-2575.59804176167,"1"
"cell1978",1008.57525699958,-2572.41204167902,"1"
"cell1979",936.755255136639,-2540.55204085261,"1"
"cell1983",1025.477257438,-2522.62404038757,"1"
"cell1985",968.161679655314,-2380.51014543697,"1"
"cell1986",916.645678319037,-2437.69614692032,"1"
"cell1988",1087.17228274234,-2339.09214436263,"1"
"cell1992",1020.541681014,-2330.72214414552,"1"
"cell1995",1062.17568209395,-2321.9201439172,"1"
"cell1996",932.575678732246,-2388.44814564288,"1"
"cell1999",946.777679100633,-2317.00614378974,"1"
"cell2002",990.463680233806,-2341.30614442006,"1"
"cell2010",1043.5996816121,-2310.25614361465,"1"
"cell2013",952.771679256111,-2394.17214579135,"1"
"cell2014",1036.30968142301,-2368.57614512742,"1"
"cell2016",1069.19568227604,-2358.91014487669,"1"
"cell2019",972.967679779977,-2450.27814724669,"1"
"cell2020",990.895680245012,-2309.01414358243,"1"
"cell2026",957.091679368168,-2415.61014634743,"1"
"cell2030",1011.03768076748,-2399.41014592722,"1"
"cell2034",1079.40168254077,-2383.91214552522,"1"
"cell2035",1042.30368157849,-2415.77214635164,"1"
"cell2039",1021.08168102801,-2354.37414475903,"1"
"cell2041",981.661680005491,-2375.59614530951,"1"
"cell2043",1051.68240679801,-2162.34041257948,"1"
"cell2045",998.816405426711,-2246.74241476878,"1"
"cell2048",1030.78440625593,-2235.67241448164,"1"
"cell2049",1093.31100787781,-2111.63441126421,"1"
"cell2050",1076.63040744513,-2150.13641226292,"1"
"cell2051",1049.90040675178,-2187.99041324481,"1"
"cell2052",1050.11640675738,-2151.37841229513,"1"
"cell2053",1065.02040714398,-2211.53441385552,"1"
"cell2054",1081.16640756279,-2097.27041089162,"1"
"cell2067",1065.56040715799,-2179.99841303751,"1"
"cell2070",1087.26840772107,-2227.19441426173,"1"
"cell2071",1068.04440722242,-2267.04641529545,"1"
"cell2072",1062.75240708515,-2245.06841472536,"1"
"cell2077",1034.40240634978,-2262.13241516799,"1"
"cell2078",1041.47640653327,-2174.86841290444,"1"
"cell2080",1053.57240684703,-2242.85441466793,"1"
"cell2104",1276.43143646047,-1839.19135205448,"1"
"cell2113",1281.93943660334,-1786.97335069999,"1"
"cell2125",1266.38743619993,-1792.75135084987,"1"
"cell2129",1274.54143641144,-1866.46135276183,"1"
"cell2132",1278.15945127979,-2087.18853628077,"1"
"cell2134",1267.68345100805,-1904.45793154091,"1"
"cell2138",1229.01945000514,-1999.87593401596,"1"
"cell2139",1241.33145032451,-2011.43193431571,"1"
"cell2140",1188.51944895461,-2054.41593543068,"1"
"cell2143",1251.32145058364,-1939.34193244576,"1"
"cell2145",1175.82944862545,-1942.2579325214,"1"
"cell2146",1170.64544849098,-2028.22593475133,"1"
